MonumentID,MaterialID,MonumentType,MentionsUnit,Inscription,CleanedInscriptionConservative,CleanedInscription,Translation,TranslationSource,Decorated,Pediment,PedimentDetail,Frieze,Portrait,InscriptionDetails,InscriptionBorder,LowerFieldDecoration,LowerFieldDetail,MonumentStyleType,FromLatEpig,EDCSTags
0120,0120,,,] Caenio / Q(uinti) f(ilio) [e]q(uiti) coh(ortis) / [II]I Alpinoru[m] / [d]omo [V]e[l]au/no ann(orum) [3] / st[ip(endiorum)] XX[,Caenio Q f q coh I Alpinoru omo eauno ann st XX,Caenio Quinti filio equiti cohortis III Alpinorum domo Velauno annorum stipendiorum XX,,,,,,,,,,,,,,milites;  tituli sepulcrales;  viri
0121,0121,,,] / XXXI [domo El]/ococi [h(ic) s(itus?) e(st)] / i(ussit) t(estamento) f(ieri) [3] / her[es p(osuit),XXXI ococi i t f heres p,XXXI domo Elococi hic situs est iussit testamento fieri heres posuit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  viri
0122,0122,,,[Das]sius Bastarni / [f(ilius) do]mo Maezaeus / [mile]s coh(ortis) I Belgarum |(centuria) / [Rest]ituti sig(nifer) annor(um) / [3] stip(endiorum) XV t(estamento) f(ieri) i(ussit) cura/[vit] Valerius Maxi/[min]us heres,sius Bastarni mo Maezaeus s coh I Belgarum ituti sig annor stip XV t f i cura Valerius Maxius heres,Dassius Bastarni filius domo Maezaeus miles cohortis I Belgarum centuria Restituti signifer annorum stipendiorum XV testamento fieri iussit curavit Valerius Maximinus heres,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri
0123,0123,,,Meduttus / Caturonis / f(ilius) miles coh(ortis) I / Bracaraug/ustanoru[m] / ann(orum) XXX s[tip(endiorum),Meduttus Caturonis f miles coh I Bracaraugustanoru ann XXX stip,Meduttus Caturonis filius miles cohortis I Bracaraugustanorum annorum XXX stipendiorum,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  viri
0124,0124,,,]SCA[3] / miles c[oh(ortis) I] / Bracarau[gustano]/rum an(norum) X[3] / h(ic) s(itus) e(st) / Cambi[3] / h(eres) p(osuit),SCA miles c Bracaraurum an X h s e Cambi h p,SCA miles cohortis I Bracaraugustanorum annorum X hic situs est Cambi heres posuit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  viri
0125,0125,,,] imag(inifer) et / vexi[l(larius),imag et vexil,imaginifer et vexillarius,,,,,,,,,,,,,,milites;  tituli sepulcrales;  viri
0126,0126,,,] h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / [h]eredes / [po]s<u=I>erunt,h s e t f i eredes sIerunt,hic situs est testamento fieri iussit heredes posuerunt,,,,,,,,,,,,,,tituli sepulcrales
0127,0127,,,]F / [3]R / [3]ONE / [3]XXXIIX / [3] h(ic) s(itus?) [e(st)] / [3]us,F R ONE XXXIIX h s us,F R ONE XXXIIX hic situs est us,,,,,,,,,,,,,,tituli sepulcrales
0128,0128,,,Tiberio Claudio Maximo / filio annorum XII Aelia / Maxima mater infelici filio / et Aeliae Annae(a)e matri / h(oc) m(onumentum) h(eredem) <n=M>(on) s(equetur) / et Primus pater,Tiberio Claudio Maximo filio annorum XII Aelia Maxima mater infelici filio et Aeliae Annaee matri h m h M s et Primus pater,Tiberio Claudio Maximo filio annorum XII Aelia Maxima mater infelici filio et Aeliae Annaeae matri hoc monumentum heredem non sequetur et Primus pater,,,,,,,,,,,,,,mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri
0129,0129,,,Q(uintus) Valerius / Q(uinti) f(ilius) Qui(rina) dom(o) / Icon(io) vet(eranus) leg(ionis) / VII an(norum) LV stip(endiorum) / XXVIII h(ic) s(itus) e(st) / Q(uintus) Portorius et Q(uintus) Va/lerius Anteros posuer(unt),Q Valerius Q f Qui dom Icon vet leg VII an LV stip XXVIII h s e Q Portorius et Q Valerius Anteros posuer,Quintus Valerius Quinti filius Quirina domo Iconio veteranus legionis VII annorum LV stipendiorum XXVIII hic situs est Quintus Portorius et Quintus Valerius Anteros posuerunt,,,,,,,,,,,,,,milites;  praenomen et nomen;  tituli sepulcrales;  tria nomina;  viri
0130,0130,,,L(ucius) Oppius L(uci) [f(ilius) 3] / Ser(gia) Signinus do/mo Con(s)tan(ti)a vet(eranus) / leg(ionis) VII annor(um) LXXI / h(ic) s(itus) e(st),L Oppius L Ser Signinus domo Contana vet leg VII annor LXXI h s e,Lucius Oppius Luci filius Sergia Signinus domo Constantia veteranus legionis VII annorum LXXI hic situs est,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0131,0131,,,L(ucius) Vettius M(arci) [f(ilius)] / Maec(ia) Secun[dus] / Libarn[a] vet(eranus) le[g(ionis)] / VII vivus [f]ecit si[bi] / et Vettiae L(uci) f(iliae) Ver[ae] / et Vettiae L(uci) l(ibertae) S[3],L Vettius M Maec Secun Libarn vet le VII vivus ecit si et Vettiae L f Ver et Vettiae L l S,Lucius Vettius Marci filius Maecia Secundus Libarna veteranus legionis VII vivus fecit sibi et Vettiae Luci filiae Verae et Vettiae Luci libertae S,,,,,,,,,,,,,,liberti/libertae;  milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri
0132,0132,,,Andamionius An/dami f(ilius) eq(ues) coh(ortis) I / Lucens(ium) / ann(orum) XXXV / st(ipendiorum) XV h(ic) s(itus) e(st) / Gav[i]llius f(ilius) [h]er(es?) / [d(e?)] s(uo?) pos(u)it,Andamionius Andami f eq coh I Lucens ann XXXV st XV h s e Gavllius f er s posit,Andamionius Andami filius eques cohortis I Lucensium annorum XXXV stipendiorum XV hic situs est Gavillius filius heres de suo posuit,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  viri
0133,0133,,,Rufus Angeti f(ilius) / mil(es) coh(ortis) I Luce(nsium)/ annorum XXX / stipen(diorum) / h(ic) s(itus) e(st) / h(eres) p(osuit),Rufus Angeti f mil coh I Luce annorum XXX stipen h s e h p,Rufus Angeti filius miles cohortis I Lucensium annorum XXX stipendiorum hic situs est heres posuit,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  viri
0134,0134,,,M(arcus) Sosius M(arci) f(ilius) / Fab(ia) Sebasto/[poli 3 leg(ionis)] VII / [,M Sosius M f Fab Sebasto VII,Marcus Sosius Marci filius Fabia Sebastopoli legionis VII,,,,,,,,,,,,,,milites;  tituli sepulcrales;  viri
0135,0135,,,Vanaius Venio [3] / domo Bodion[t(icus) e]q(ues) coh(ortis) / Alp(inorum) an(norum) LIIII [sti]p(endiorum) XXV / h(ic) s(itus) e(st) Valeri[an]a et / Marcella [3] p(osuerunt),Vanaius Venio domo Bodionq coh Alp an LIIII p XXV h s e Valeria et Marcella p,Vanaius Venio domo Bodionticus eques cohortis Alpinorum annorum LIIII stipendiorum XXV hic situs est Valeriana et Marcella posuerunt,,,,,,,,,,,,,,milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri
0136,0136,,,] / tur(ma) Ne[potis] / ann(orum) XLV [3] / t(estamento) [f(ieri) i(ussit)] / Neriu[s,tur Ne ann XLV t Nerius,turma Nepotis annorum XLV testamento fieri iussit Nerius,,,,,,,,,,,,,,milites;  nomen singulare;  tituli sepulcrales;  viri
0137,0137,,,P[3]a / at[3] fa/to rapta h(ic) s(ita) e(st) / C(aius) Valerius C(ai) f(ilius) Den/to veter(anus) leg(ionis) VII lib(ertae) / suae posuit,P a at fato rapta h s e C Valerius C f Dento veter leg VII lib suae posuit,P a at fato rapta hic sita est Caius Valerius Cai filius Dento veteranus legionis VII libertae suae posuit,,,,,,,,,,,,,,liberti/libertae;  milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri
0138,0138,,,Q(uintus) Pius L(uci) [f(ilius)] / Ser(gia) Signinus do/mo Con(s)tan(ti)a vet(eranus) / leg(ionis) VII annor(um) LXXI / h(ic) s(itus) e(st),Q Pius L Ser Signinus domo Contana vet leg VII annor LXXI h s e,Quintus Pius Luci filius Sergia Signinus domo Constantia veteranus legionis VII annorum LXXI hic situs est,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0139,0139,,,] c(o)h[or(tis?) 3] / [3] sti[p(endiorum),ch stip,cohortis stipendiorum,,,,,,,,,,,,,,milites;  tituli sepulcrales;  viri
0140,0140,,,L(ucius) Rustius Picen[s] / tr(ibunus) mil(itum) vovi[t] / praef(ectus) eq(uitum) fec[it],L Rustius Picen tr mil vovi praef eq fec,Lucius Rustius Picens tribunus militum vovit praefectus equitum fecit,,,,,,,,,,,,,,milites;  ordo equester;  ordo senatorius;  tituli sacri;  tria nomina;  viri
0141,0141,,,L(ucius) Tertius L(uci?) f(ilius) / [Te]rtianus / H[era]cl(ea) ann(orum) [3] / HIRACLRA mi<l=H>(es) / l<e=I>g(ionis) XI [C(laudiae) P(iae)] F(idelis) / ann(orum) XL stip(endiorum) XVII / L(ucius) Pomp(onius?) Pol[lio(?),L Tertius L f rtianus Hcl ann HIRACLRA miH lIg XI F ann XL stip XVII L Pomp Pollio,Lucius Tertius Luci filius Tertianus Heraclea annorum HIRACLRA miles legionis XI Claudiae Piae Fidelis annorum XL stipendiorum XVII Lucius Pomponius Pollio,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0142,0142,,,L(ucius) Tertius L(uci?) f(ilius) / Ser(gia) Tertianus / Heraclea mil(es) / leg(ionis) XI C(laudiae) [P(iae) F(idelis)] / ann(orum) XL / [stip(endiorum)] XVII / t(estamento) f(ieri) i(ussit) / L(ucius) Ponponius(!) / Polio(!) h(eres) p(onendum) c(uravit),L Tertius L f Ser Tertianus Heraclea mil leg XI C ann XL XVII t f i L Ponponius Polio h p c,Lucius Tertius Luci filius Sergia Tertianus Heraclea miles legionis XI Claudiae Piae Fidelis annorum XL stipendiorum XVII testamento fieri iussit Lucius Ponponius Polio heres ponendum curavit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0143,0143,,,l]eg(ionis) XI [C(laudiae) P(iae) F(idelis?)] / [|(centuria?)] Aemi(lii) V[ictori(?)] / ann(orum) XI[3] / [s]ti[p(endiorum),leg XI Aemi V ann XI tip,legionis XI Claudiae Piae Fidelis centuria Aemilii Victori annorum XI stipendiorum,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0144,0144,,,]ALR[3] / [3] leg(ionis) X[I(?) C(laudiae) P(iae) F(idelis?)] / [ann(orum) 3] / stip(endiorum) X[3] / [3] M(arcus) Pon[,ALR leg X stip X M Pon,ALR legionis XI Claudiae Piae Fidelis annorum stipendiorum X Marcus Pon,,,,,,,,,,,,,,milites;  tituli sepulcrales;  viri
0145,0145,,,I(ovi) O(ptimo) M(aximo) C(onservatori?) / P(ublius) Aelius / Andes / Barcini / v(otum) s(olvit) l(ibens) m(erito),I O M C P Aelius Andes Barcini v s l m,Iovi Optimo Maximo Conservatori Publius Aelius Andes Barcini votum solvit libens merito,,,,,,,,,,,,,,nomen singulare;  tituli sacri;  tria nomina;  viri
0146,0146,,,]ci / [3]avi / [3 s]i[g]ni[f(er?)] leg(ionis) XI / ann(orum) XLV stip(endiorum) XXI / C(aius) Aemilius C(ai) f(ilius) / Marcellus ann(orum) XIIX / pater et filius / h(ic) s(itus) e(st!),ci avi ini leg XI ann XLV stip XXI C Aemilius C f Marcellus ann XIIX pater et filius h s e,ci avi signifer legionis XI annorum XLV stipendiorum XXI Caius Aemilius Cai filius Marcellus annorum XIIX pater et filius hic situs est,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0147,0147,,,L(ucius) Cassius L(uci) f(ilius) / Trom(entina) Marti/alis Aq(uae) Sta(tiellae) / mil(es) leg(ionis) XI / C(laudiae) P(iae) F(idelis) / |(centuria) Pulpid<i=F> Sil/vestris / stip(endiorum) XII an(norum) XXXV / t(estamento) f(ieri) i(ussit) h(eres) f(aciendum) c(uravit),L Cassius L f Trom Martialis Aq Sta mil leg XI C P F PulpidF Silvestris stip XII an XXXV t f i h f c,Lucius Cassius Luci filius Tromentina Martialis Aquae Statiellae miles legionis XI Claudiae Piae Fidelis centuria Pulpidi Silvestris stipendiorum XII annorum XXXV testamento fieri iussit heres faciendum curavit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0148,0148,,,[3 Cla]udius A(uli) [f(ilius) Pob(lilia)] / [Cel]er |(centurio) leg(ionis) XI C(laudiae) P(iae) / F(idelis) domo Vero/na ann(orum) LXIII stip(endiorum) / XXXXIII t(estamento) f(ieri) iussit / Panthagathus / lib(ertus) f(aciendum) c(uravit),udius A er leg XI C P F domo Verona ann LXIII stip XXXXIII t f iussit Panthagathus lib f c,Claudius Auli filius Poblilia Celer centurio legionis XI Claudiae Piae Fidelis domo Verona annorum LXIII stipendiorum XXXXIII testamento fieri iussit Panthagathus libertus faciendum curavit,,,,,,,,,,,,,,liberti/libertae;  milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri
0149,0149,,,T(itus) Cominius / C(ai) f(ilius) Romilia / Ateste miles / leg(ionis) XI anno/rum XL stip(endiorum) XVI / h(ic) s(itus) e(st) frater / fratri posuit / vix{s}i(t) quad potui sem/per bene pauper honeste / [fr]audavi nullum nunc iuvat / [os]sa mea,T Cominius C f Romilia Ateste miles leg XI annorum XL stip XVI h s e frater fratri posuit vixsi quad potui semper bene pauper honeste audavi nullum nunc iuvat sa mea,Titus Cominius Cai filius Romilia Ateste miles legionis XI annorum XL stipendiorum XVI hic situs est frater fratri posuit vixit quad potui semper bene pauper honeste fraudavi nullum nunc iuvat ossa mea,,,,,,,,,,,,,,carmina;  milites;  tituli sepulcrales;  tria nomina;  viri
0150,0150,,,Sal(vius) Frebranus T(iti) f(ilius) / Quir(ina) Baculus has(tatus) / pri(or) leg(ionis) XX,Sal Frebranus T f Quir Baculus has pri leg XX,Salvius Frebranus Titi filius Quirina Baculus hastatus prior legionis XX,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0151,0151,,,]I[3]VV / Naev[3] / Q(uinti) lib(erti) Primi / Q(uintus) Naevius C(ai) / [f(ilius)] Vol(tinia) / Ponticus signif(er),I VV Naev Q lib Primi Q Naevius C Vol Ponticus signif,I VV Naev Quinti liberti Primi Quintus Naevius Cai filius Voltinia Ponticus signifer,,,,,,,,,,,,,,liberti/libertae;  milites;  tituli sepulcrales;  tria nomina;  viri
0152,0152,,,Q(uintus) Valerius / Q(uinti) f(ilius) Ani(ensi) Niger / domo Foro / Iu[l]i vet(eranus) leg(ionis) X[I] / C(laudiae) P(iae) F(idelis) ann(orum) XLV / stip(endiorum) XXIIII h(ic) s(itus) e(st) / t(estamento) f(ieri) i(ussit) C(aius) P(ontius) / et Q(uintus) Gussius [h(eredes) f(ecerunt)],Q Valerius Q f Ani Niger domo Foro Iui vet leg X C P F ann XLV stip XXIIII h s e t f i C P et Q Gussius,Quintus Valerius Quinti filius Aniensi Niger domo Foro Iuli veteranus legionis XI Claudiae Piae Fidelis annorum XLV stipendiorum XXIIII hic situs est testamento fieri iussit Caius Pontius et Quintus Gussius heredes fecerunt,,,,,,,,,,,,,,milites;  praenomen et nomen;  tituli sepulcrales;  tria nomina;  viri
0153,0153,,,Folnia A(uli) / [f(ilia)] S[pe]s Anni[a Spe]s / A(ulus) [F]olnius / parentes [p]os(uerunt),Folnia A Ss Annis A olnius parentes os,Folnia Auli filia Spes Annia Spes Aulus Folnius parentes posuerunt,,,,,,,,,,,,,,mulieres;  praenomen et nomen;  tituli sepulcrales;  tria nomina;  viri
0154,0154,,,Coranus / Iovi/l(a)e v(otum) s(olvit),Coranus Iovile v s,Coranus Iovilae votum solvit,,,,,,,,,,,,,,nomen singulare;  tituli sacri;  viri
0155,0155,,,Iovi O(ptimo) M(aximo) / T(itus) Fufisius sig(nifer?) / v(otum) s(olvit) l(ibens) m(erito),Iovi O M T Fufisius sig v s l m,Iovi Optimo Maximo Titus Fufisius signifer votum solvit libens merito,,,,,,,,,,,,,,milites;  praenomen et nomen;  tituli sacri;  viri
0156,0156,,,C(aius) Voc[conius(?)] / M(arci) f(ilius?) Iovi [,C Voc M f Iovi,Caius Vocconius Marci filius Iovi,,,,,,,,,,,,,,praenomen et nomen;  tituli sacri;  viri
0157,0157,,,inte]r [p]ra/ta leg(ionis) [e]t fines / roboreti Fla(vi) / Marc(iani?) per Augu/stianum Belli/cum proc(uratorem) / Aug(usti),inter rata leg t fines roboreti Fla Marc per Augustianum Bellicum proc Aug,inter prata legionis et fines roboreti Flavi Marciani per Augustianum Bellicum procuratorem Augusti,,,,,,,,,,,,,,ordo equester;  termini;  tria nomina;  viri
0158,0158,,,L(ucius) Va[leri]us L(uci) f(ilius) / Vo[lt(inia) V]erus / dom(o) [Lu]co Au[g(usti)] / mi[l(es) leg(ionis)] VI[I] C(laudiae) P(iae) <F=B>(idelis) / ann(orum) [3]I stip(endiorum) / XVI h[(ic)] s[it(us)] e(st) / <t=I>(estamento) f(ieri) [i(ussit)] P(ublius) [A]nnius / Aqu[3] f(aciendum) c(uravit),L Vaus L f Voerus dom co Au mi VI C P B ann I stip XVI h s e I f P nnius Aqu f c,Lucius Valerius Luci filius Voltinia Verus domo Luco Augusti miles legionis VII Claudiae Piae Fidelis annorum I stipendiorum XVI hic situs est testamento fieri iussit Publius Annius Aqu faciendum curavit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0159,0159,,,] Caerel<l=I>i[us] / [3] Q(uinti) lib(ertus) Palat(ina) / [3]icus domo [3] / [3 an]n(orum) [3]XXX h(ic) [s(itus) e(st)],CaerelIi Q lib Palat icus domo n XXX h,Caerellius Quinti libertus Palatina icus domo annorum XXX hic situs est,,,,,,,,,,,,,,liberti/libertae;  tituli sepulcrales;  tria nomina;  viri
0160,0160,,,Sub hac in/scriptione / M(arcus) Cupitius / M(arci) f(ilius) Pol(lia) / Paulus / Amasia / miles leg(ionis) / XI C(laudiae) P(iae) F(idelis) stip/endiorum / XVII Cupitius / Pol(l)io frater / faciundum / curavit,Sub hac inscriptione M Cupitius M f Pol Paulus Amasia miles leg XI C P F stipendiorum XVII Cupitius Polio frater faciundum curavit,Sub hac inscriptione Marcus Cupitius Marci filius Pollia Paulus Amasia miles legionis XI Claudiae Piae Fidelis stipendiorum XVII Cupitius Pollio frater faciundum curavit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0161,0161,,,[Ti(berius) Claudius Drusi] / f(ilius) Ca[es]ar Aug(ustus) G[erman(icus)] / pont[if]ex maximu[s tr(ibunicia) p(otestate) XI] / imp(erator) XX[3] co(n)s(ul) V censo[r p(ater) p(atriae)] / P(ublio) Ante[io R]ufo leg(ato) p[ro pr(aetore)] / [f(aciendum)] c(uravit),f Caar Aug G pontex maximu imp XX cos V censo P Anteufo leg p c,Tiberius Claudius Drusi filius Caesar Augustus Germanicus pontifex maximus tribunicia potestate XI imperator XX consul V censor pater patriae Publio Anteio Rufo legato pro praetore faciendum curavit,,,,,,,,,,,,,,Augusti/Augustae;  ordo senatorius;  tituli operum;  tria nomina;  viri
0162,0162,,,]SV[3] / [3 v(otum?)] l(ibens?) s(olvit?) m(erito) / Nice[3] / [3 T]hallu[s,SV l s m Nice hallus,SV votum libens solvit merito Nice Thallus,,,,,,,,,,,,,,tituli sacri;  viri
0163,0163,,,Ger]manic(us) Dacic(us) [,Germanic Dacic,Germanicus Dacicus,,,,,,,,,,,,,,Augusti/Augustae;  tituli operum;  viri
0164,0164,,,Sex(tus) Antern(ius) / Q(uinti) f(ilius) Sca(ptia) / Severus domo / Flore[ntia,Sex Antern Q f Sca Severus domo Florentia,Sextus Anternius Quinti filius Scaptia Severus domo Florentia,,,,,,,,,,,,,,tituli sepulcrales;  tria nomina;  viri
0165,0165,,,Ant]onius / [3] Vienn[a 3] / [3 l]eg(ionis) VII[I Aug(ustae)] / [3] sti[p(endiorum),Antonius Vienn eg VII stip,Antonius Vienna legionis VIII Augustae stipendiorum,,,,,,,,,,,,,,milites;  tituli sepulcrales;  viri
0166,0166,,,C(aius) Av[3] / C(ai) f(ilius) Fa[3] / mil(es) leg(ionis) [3] / XXI h(ic) [s(itus) e(st)],C Av C f Fa mil leg XXI h,Caius Av Cai filius Fa miles legionis XXI hic situs est,,,,,,,,,,,,,,milites;  tituli sepulcrales;  viri
0167,0167,,,] Caesius / [3]cla Secu/[ndu]s I(u)vav(o) mil(es) / [leg(ionis) 3 |(centuria)] Q(uinti) Liga/[ri,Caesius cla Secus Ivav mil Q Ligari,Caesius cla Secundus Iuvavo miles legionis centuria Quinti Ligari,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0168,0168,,,P(ublio) Carsidi/o P(ubli) f(ilio) Gal(eria) / Calvo Lug(u)d(unensi) / aquilifero / leg(ionis) IIII F(laviae) F(irmae) ann(orum) / XLI stip(endiorum) XIIX / h(ic) s(itus) e(st),P Carsidio P f Gal Calvo Lugd aquilifero leg IIII F F ann XLI stip XIIX h s e,Publio Carsidio Publi filio Galeria Calvo Lugudunensi aquilifero legionis IIII Flaviae Firmae annorum XLI stipendiorum XIIX hic situs est,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0169,0169,,,L(ucius) Cicereiu[s 3] f(ilius) Ani(ensi) / [3] Fidus Arim(ino) [3] / [3] Cicerei Laevi p[rimipilaris(?)] / leg(ionis) XI [3 et(?)] / [3] Cicerei Ascan[i primipila]ris leg(ionis) XI vi[vus fecit(?)],L Cicereiu f Ani Fidus Arim Cicerei Laevi p leg XI Cicerei Ascanris leg XI vi,Lucius Cicereius filius Aniensi Fidus Arimino Cicerei Laevi primipilaris legionis XI et Cicerei Ascani primipilaris legionis XI vivus fecit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0170,0170,,,C(aius) Coccius / C(ai) f(ilius) Vetur(ia) / [T]ertius Plac(entia) / mil(es) leg(ionis) XI C(laudiae) P(iae) F(idelis) / stip(endiorum) XII |(centuria) Caecil(i) / Sabini benef(iciarius) / tribuni / [h(eres)] f(aciendum) c(uravit),C Coccius C f Vetur ertius Plac mil leg XI C P F stip XII Caecil Sabini benef tribuni f c,Caius Coccius Cai filius Veturia Tertius Placentia miles legionis XI Claudiae Piae Fidelis stipendiorum XII centuria Caecili Sabini beneficiarius tribuni heres faciendum curavit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0171,0171,,,] / XIII[3] / Q(uinto) Com[agio 1 f(ilio)] / Ani(ensi) Cre[mona 3] / mil(iti) leg(ionis) XI [Cl(audiae) P(iae) F(elicis) ann(orum)] / XXIIX stip(endiorum) [3] / h(ic) s(itus) (e)s(t?) fr(ater) f[ac(iendum) cur(avit)],XIII Q Com Ani Cre mil leg XI XXIIX stip h s s fr f,XIII Quinto Comagio filio Aniensi Cremona militi legionis XI Claudiae Piae Felicis annorum XXIIX stipendiorum hic situs est frater faciendum curavit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  viri
0172,0172,,,C(aius) Fabricius C(ai) f(ilius) Ouf(entina) Pri/mus Como miles / leg(ionis) XI C(laudiae) P(iae) F(idelis) |(centuria) Gemini / Flavi stip(endiorum) XX / ann(orum) XXXVIII / testame(nto) / f(ieri) iussit her(es) / faci<e=V>ndum curavit,C Fabricius C f Ouf Primus Como miles leg XI C P F Gemini Flavi stip XX ann XXXVIII testame f iussit her faciVndum curavit,Caius Fabricius Cai filius Oufentina Primus Como miles legionis XI Claudiae Piae Fidelis centuria Gemini Flavi stipendiorum XX annorum XXXVIII testamento fieri iussit heres faciendum curavit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0173,0173,,,L(ucius) Flavius / L(uci) f(ilius) Fab(ia) Vale/ns Heracle/a mil(es) leg(ionis) XI C(laudiae) P(iae) F(idelis) / |(centuria) Iuli Prisci an(norum) / XLII stip(endiorum) XXII / |(centuria) Iuli Prisci(!) / h(eres) f(aciendum) c(uravit),L Flavius L f Fab Valens Heraclea mil leg XI C P F Iuli Prisci an XLII stip XXII Iuli Prisci h f c,Lucius Flavius Luci filius Fabia Valens Heraclea miles legionis XI Claudiae Piae Fidelis centuria Iuli Prisci annorum XLII stipendiorum XXII centuria Iuli Prisci heres faciendum curavit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0174,0174,,,P(ublius) Gosseli/us Q(uinti) f(ilius) An(i)e(nsi) / Cre(mona) mil(es) leg(ionis) / XI sig(nifer) an(n)or(um) / XL st(ipendiorum) XIIII / h(ic) s(itus) e(st),P Gosselius Q f Ane Cre mil leg XI sig anor XL st XIIII h s e,Publius Gosselius Quinti filius Aniensi Cremona miles legionis XI signifer annorum XL stipendiorum XIIII hic situs est,,,,,,,,,,,,,,milites;  praenomen et nomen;  tituli sepulcrales;  viri
0175,0175,,,Q(uinto) Iulio An[i(ensi)] / Felici mil(iti) / [l]eg(ionis) IIII F(laviae) F(elicis) / [an]n(orum) X[L] sti(pendiorum) XIIX / [t(estamento)] f(ieri) i(ussit) / [Q(uintus) Iuli]us Se[verus(?)],Q Iulio An Felici mil eg IIII F F n X sti XIIX f i us Se,Quinto Iulio Aniensi Felici militi legionis IIII Flaviae Felicis annorum XL stipendiorum XIIX testamento fieri iussit Quintus Iulius Severus,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0176,0176,,,Imp(erator) Caesar Vespasianus Aug(ustus) pont(ifex) max(imus) / trib(unicia) pot(estate) VIII imp(erator) XVIII p(ater) p(atriae),Imp Caesar Vespasianus Aug pont max trib pot VIII imp XVIII p p,Imperator Caesar Vespasianus Augustus pontifex maximus tribunicia potestate VIII imperator XVIII pater patriae,,,,,,,,,,,,,,Augusti/Augustae;  tituli operum;  viri
0177,0177,,,P(ublius) Ceri[sius(?)] / P(ubli) f(ilius) Sab(atina) I[3] / Fa() mil(es) [3] ann(orum) XL [stip(endiorum),P Ceri P f Sab I Fa mil ann XL stip,Publius Cerisius Publi filius Sabatina I Fa miles annorum XL stipendiorum,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0178,0178,,,C(aius) Cottius C(ai) (!) Quiri(na) / Priscinus Aug(usto)ne(meto) / mil(es) leg(ionis) XI C(laudiae) P(iae) F(idelis) / stipendioru(m) XVI / annoru(m) XXXV / testamen(to) fier(i) iu/[ssit],C Cottius C Quiri Priscinus Augne mil leg XI C P F stipendioru XVI annoru XXXV testamen fier iu,Caius Cottius Cai Quirina Priscinus Augustonemeto miles legionis XI Claudiae Piae Fidelis stipendiorum XVI annorum XXXV testamento fieri iussit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
0179,0179,,,Q(uintus) Iulius Q(uinti) f(ilius) / Ouf(entina) Man/suetus Co/mo miles / leg(ionis) XI C(laudiae) P(iae) F(idelis) / ann(orum) XXXV stip(endiorum) / XIIII t(estamento) f(ieri) i(ussit) Q(uintus) Iul(ius) / Annius mil(es) leg(ionis) / eiusd(em) fratri p(ientissimo) f(aciendum) c(uravit),Q Iulius Q f Ouf Mansuetus Como miles leg XI C P F ann XXXV stip XIIII t f i Q Iul Annius mil leg eiusd fratri p f c,Quintus Iulius Quinti filius Oufentina Mansuetus Como miles legionis XI Claudiae Piae Fidelis annorum XXXV stipendiorum XIIII testamento fieri iussit Quintus Iulius Annius miles legionis eiusdem fratri pientissimo faciendum curavit,,,,,,,,,,,,,,milites;  tituli sepulcrales;  tria nomina;  viri
